id,year
52009,1795
52987,1620
52988,1634
53163,1107
53188,1300
53191,1760
53192,1830
53193,1760
53231,1550
53233,1530
53237,1560
53243,1861
53246,1615
53314,1889
53345,1863
53404,1785
53405,1785
53408,1755
53409,1795
53410,1779
53421,1701
53422,1704
53424,1850
53427,1839
53444,1715
53445,1790
53446,1783
53447,1796
53449,1857
53451,1744
53453,1780
53454,1734
53457,1768
53458,1815
53460,1814
53461,1825
53463,1848
53465,1817
53466,1828
53543,1690
53596,1861
53608,1764
53653,1793
53654,1794
53655,1756
53656,1795
53657,1794
53659,1856
53660,1278
53679,1857
53680,1856
53681,1857
53682,1857
53684,1700
53687,1840
53688,1843
53689,1793
53691,1857
53692,1830
53697,1856
53698,1830
53699,1827
53700,1834
53701,1861
53702,1861
53710,1854
53711,1883
53719,1786
53780,1853
53781,1853
53782,1853
53783,1853
53784,1853
53785,1853
53786,1830
53787,1830
53788,1830
53789,1830
53790,1830
53791,1830
53792,1830
53793,1830
53816,1910
53845,1830
53894,1768
53895,1768
53897,1800
53899,1889
53900,1898
53904,1783
53920,1839
53972,1811
53980,1815
53986,1812
53990,1807
53997,1827
53998,1828
54025,1816
54026,1815
54038,1783
54044,1815
54045,1815
54046,1815
54047,1815
54050,1815
54052,1815
54061,1816
54064,1805
54065,1805
54066,1805
54067,1810
54068,1806
54069,1805
54071,1806
54090,1814
54093,1800
54099,1816
54102,1816
54114,1816
54120,1815
54122,1810
54123,1817
54124,1820
54125,1810
54126,1810
54129,1811
54134,1823
54135,1817
54136,1817
54137,1820
54138,1820
54146,1820
54147,1820
54148,1820
54149,1820
54155,1810
54156,1810
54157,1810
54158,1820
54164,1817
54176,1819
54178,1840
54179,1840
54180,1835
54181,1765
54182,1825
54183,1760
54184,1825
54188,1802
54189,1802
54191,1802
54192,1841
54193,1800
54194,1821
54195,1821
54196,1820
54197,1852
54203,1840
54204,1840
54205,1862
54215,1786
54216,1750
54217,1760
54218,1805
54219,1760
54220,1750
54221,1780
54222,1780
54224,1780
54225,1797
54226,1831
54231,1807
54301,1801
54302,1801
54303,1799
54304,1800
54305,1830
54306,1820
54307,1830
54314,1800
54315,1800
54316,1820
54317,1814
54318,1825
54320,1825
54321,1815
54322,1835
54323,1835
54324,1835
54325,1835
54327,1820
54329,1820
54330,1820
54332,1820
54335,1800
54336,1825
54338,1820
54339,1820
54340,1830
54341,1820
54342,1825
54343,1820
54344,1830
54345,1830
54346,1830
54347,1820
54348,1800
54349,1810
54350,1830
54351,1820
54352,1832
54353,1819
54354,1830
54355,1830
54356,1800
54357,1820
54358,1820
54359,1820
54360,1820
54361,1830
54362,1830
54363,1820
54364,1810
54365,1820
54366,1830
54367,1820
54369,1830
54370,1820
54371,1830
54372,1830
54373,1830
54374,1830
54375,1828
54376,1830
54377,1814
54378,1820
54379,1830
54382,1840
54383,1824
54384,1840
54385,1800
54386,1800
54387,1820
54388,1820
54389,1822
54392,1825
54393,1830
54395,1840
54396,1834
54399,1815
54423,1840
54430,1800
54433,1820
54435,1804
54438,1821
54439,1808
54440,1816
54442,1820
54443,1820
54444,1820
54445,1818
54446,1810
54447,1816
54448,1818
54449,1810
54450,1812
54451,1810
54452,1808
54453,1820
54456,1814
54464,1895
54467,1816
54469,1816
54471,1816
54472,1815
54473,1816
54478,1745
54479,1748
54480,1748
54481,1752
54482,1748
54483,1744
54484,1745
54485,1745
54486,1749
54487,1735
54488,1735
54490,1757
54491,1761
54492,1761
54493,1762
54494,1765
54495,1757
54496,1756
54497,1756
54498,1814
54499,1750
54501,1752
54504,1827
54505,1758
54506,1767
54507,1767
54508,1827
54509,1827
54510,1827
54511,1767
54512,1813
54513,1817
54514,1805
54515,1818
54516,1817
54519,1820
54520,1819
54521,1810
54522,1767
54523,1813
54524,1767
54526,1767
54527,1813
54528,1767
54531,1767
54532,1814
54534,1767
54535,1813
54536,1767
54537,1815
54538,1767
54539,1767
54540,1765
54541,1766
54542,1765
54543,1766
54546,1766
54550,1765
54551,1760
54552,1815
54554,1767
54556,1814
54562,1815
54569,1764
54570,1769
54571,1769
54572,1765
54574,1769
54575,1760
54576,1480
54577,1769
54578,1769
54579,1773
54580,1770
54581,1770
54582,1771
54583,1773
54584,1773
54586,1773
54587,1774
54588,1773
54589,1774
54590,1774
54591,1776
54592,1776
54595,1776
54596,1777
54597,1778
54599,1778
54600,1778
54601,1778
54602,1779
54604,1885
54605,1885
54606,1885
54607,1885
54608,1887
54609,1887
54610,1887
54611,1887
54612,1887
54613,1887
54614,1887
54615,1887
54616,1888
54617,1887
54618,1887
54619,1887
54620,1887
54621,1887
54622,1887
54623,1887
54624,1887
54625,1887
54626,1887
54627,1887
54628,1887
54629,1887
54630,1887
54631,1887
54632,1887
54633,1887
54634,1887
54635,1887
54636,1887
54637,1887
54638,1887
54639,1887
54640,1887
54641,1887
54642,1887
54643,1887
54644,1887
54645,1887
54646,1885
54647,1779
54648,1776
54649,1772
54650,1773
54651,1777
54652,1790
54653,1796
54654,1703
54655,1793
54656,1794
54658,1779
54659,1779
54660,1781
54661,1781
54662,1782
54663,1784
54664,1782
54665,1784
54666,1785
54667,1790
54668,1791
54669,1793
54670,1792
54671,1887
54672,1887
54673,1887
54674,1887
54675,1887
54676,1887
54677,1885
54684,1887
54688,1888
54692,1887
54694,1887
54695,1887
54696,1885
54698,1887
54699,1887
54700,1887
54701,1885
54703,1887
54704,1650
54707,1650
54708,1800
54709,1800
54710,1800
54711,1868
54712,1891
54714,1891
54731,1811
54732,1891
54733,1891
54734,1890
54735,1887
54736,1887
54737,1892
54738,1892
54739,1887
54740,1887
54741,1890
54742,1890
54743,1890
54744,1890
54745,1887
54746,1887
54747,1868
54748,1887
54749,1868
54750,1887
54751,1887
54752,1887
54753,1890
54754,1890
54755,1890
54756,1890
54757,1890
54758,1890
54759,1890
54760,1890
54764,1813
54768,1814
54772,1816
54774,1709
54782,1667
54784,1808
54786,1808
54790,1819
54799,1816
54801,1810
54802,1759
54803,1772
54804,1805
54806,1790
54807,1810
54808,1783
