id,year
AK-BR-JAN-1,1200
AK-MAK-1154,1800
AK-MAK-116,1200
AK-MAK-1165-A,1600
AK-MAK-1165-B,1600
AK-MAK-1168,975
AK-MAK-117,1275
AK-MAK-118,1300
AK-MAK-1188,200
AK-MAK-119,1400
AK-MAK-120,1400
AK-MAK-1201,850
AK-MAK-1202,800
AK-MAK-1204,850
AK-MAK-1206,600
AK-MAK-1207,600
AK-MAK-121,1500
AK-MAK-1232,600
AK-MAK-1233,600
AK-MAK-1234,600
AK-MAK-1250,1500
AK-MAK-1251,1500
AK-MAK-1252,1600
AK-MAK-1253,1500
AK-MAK-1254,1500
AK-MAK-1255,1500
AK-MAK-1256,1500
AK-MAK-1257,1500
AK-MAK-1259,1800
AK-MAK-1260,1526
AK-MAK-1258,1600
AK-MAK-1262,1740
AK-MAK-1264,1775
AK-MAK-1265,1700
AK-MAK-1281,618
AK-MAK-1285,1600
AK-MAK-1286,1600
AK-MAK-1291,1000
AK-MAK-1298,1300
AK-MAK-1393,1600
AK-MAK-1407,600
AK-MAK-1409,1800
AK-MAK-1415,600
AK-MAK-1417-1,1600
AK-MAK-1417-2,1600
AK-MAK-1423,1100
AK-MAK-1425,1200
AK-MAK-1426,700
AK-MAK-1456,1300
AK-MAK-1502,1600
AK-MAK-1507,900
AK-MAK-1509,1100
AK-MAK-1508,1600
AK-MAK-1510,1600
AK-MAK-1511,1600
AK-MAK-1516,800
AK-MAK-1515,800
AK-MAK-1533,1700
AK-MAK-1535,1800
AK-MAK-1534,1700
AK-MAK-1536,1800
AK-MAK-1537,1800
AK-MAK-1539,1800
AK-MAK-1540,1800
AK-MAK-1541,1800
AK-MAK-1542,1800
AK-MAK-1543,1800
AK-MAK-1544,1600
AK-MAK-1545(R),1600
AK-MAK-1545(V),1600
AK-MAK-1621,1800
AK-MAK-1622,1780
AK-MAK-1623,1780
AK-MAK-1624,1780
AK-MAK-1626,1875
AK-MAK-1627,1810
AK-MAK-1727,1200
AK-MAK-1736,1600
AK-MAK-183,900
AK-MAK-186,1700
AK-MAK-185,950
AK-MAK-187,1100
AK-MAK-190,1500
AK-MAK-188,1400
AK-MAK-189,1200
AK-MAK-192,1500
AK-MAK-193,700
AK-MAK-194,900
AK-MAK-197,1700
AK-MAK-196,600
AK-MAK-199,1700
AK-MAK-203,1500
AK-MAK-205,1500
AK-MAK-221,1050
AK-MAK-228,1175
AK-MAK-232-A,800
AK-MAK-232-B,800
AK-MAK-233,800
AK-MAK-234,800
AK-MAK-238,800
AK-MAK-240,800
AK-MAK-241,800
AK-MAK-243,800
AK-MAK-249,850
AK-MAK-250,850
AK-MAK-251,850
AK-MAK-263,1450
AK-MAK-265,600
AK-MAK-286,550
AK-MAK-287,618
AK-MAK-294,1125
AK-MAK-295,1275
AK-MAK-302,700
AK-MAK-305,1700
AK-MAK-307,1700
AK-MAK-309,1500
AK-MAK-312,870
AK-MAK-313,870
AK-MAK-315,1450
AK-MAK-389,800
AK-MAK-498,1050
AK-MAK-519,800
AK-MAK-520,1000
AK-MAK-521,1580
AK-MAK-522,1000
AK-MAK-524-A,700
AK-MAK-524-B,850
AK-MAK-659,1661
AK-MAK-71,500
AK-MAK-717,1800
AK-MAK-73,500
AK-MAK-74,581
AK-MAK-75,618
AK-MAK-76,850
AK-MAK-77,850
AK-MAK-78,600
AK-MAK-79,600
AK-MAK-80,618
AK-MAK-82,1100
AK-MAK-83,1100
AK-MAK-84,1100
AK-MAK-85,1000
AK-MAK-86,1050
AK-MAK-950,1800
AK-MAK-95,1590
AK-MAK-955,900
AK-NM-1441,1750
AK-NM-6520,1760
AK-NM-6522,1735
AK-NM-6546,1700
AK-NM-6555,1750
AK-NM-6589,1675
AK-NM-6611-A,1770
AK-NM-6612-B,1770
AK-NM-6612-A,1770
AK-NM-6611-B,1770
AK-NM-6613-A,1770
AK-NM-6613-B,1736
AK-NM-6614-A,1770
AK-NM-6614-B,1770
AK-NM-6614-C,1770
AK-NM-6614-D,1770
AK-NM-6618-B,1770
AK-NM-6618-A,1770
AK-NM-6619-A,1770
AK-NM-6620-A,1770
AK-NM-6620-B,1770
AK-NM-6619-B,1760
AK-NM-6620-C,1770
AK-NM-6620-D,1770
AK-NM-6949,1736
AK-NM-7003,1760
AK-NM-9538,1700
AK-RAK-1970-2,975
AK-RAK-1973-12,1700
AK-RAK-1975-2,1175
AK-RAK-1982-1,700
AK-RAK-1987-8,100
AK-RAK-1989-2,512
AK-RAK-1990-1,800
AK-RAK-1990-3,750
AK-RAK-1992-1,1000
AK-RAK-1992-3,850
AK-RAK-1995-6,1500
AK-RAK-1997-1,1300
AK-RAK-1999-1,775
AK-RAK-2000-15,750
AK-RAK-2003-7,1790
AK-RAK-2008-2,850
AK-RAK-2008-1,1733
AK-RAK-2012-1,1100
AK-RAK-2013-1,1600
AK-RBK-15962,1736
AK-RBK-16326-A,1700
AK-RBK-16326-B,1700
AK-RBK-16342-A,1700
AK-RBK-16342-B,1700
AK-RBK-18006,1875
BI-1887-1463-1,1660
BI-1887-1463-104,1655
BI-1887-1463-101,1648
BI-1887-1463-102,1655
BI-1887-1463-103,1679
BI-1887-1463-105,1660
BI-1887-1463-106,1654
BI-1887-1463-108,1659
BI-1887-1463-107,1656
BI-1887-1463-109,1661
BI-1887-1463-111,1659
BI-1887-1463-112,1654
BI-1887-1463-110,1643
BI-1887-1463-113,1659
BI-1887-1463-113A,1661
BI-1887-1463-113B,1659
BI-1887-1463-113C,1660
BI-1887-1463-114,1654
BI-1887-1463-115B,1651
BI-1887-1463-115,1651
BI-1887-1463-116,1660
BI-1887-1463-115A,1653
BI-1887-1463-116B,1660
BI-1887-1463-116A,1660
BI-1887-1463-117,1654
BI-1887-1463-118,1648
BI-1887-1463-119,1651
BI-1887-1463-119A,1651
BI-1887-1463-119B,1651
BI-1887-1463-121,1650
BI-1887-1463-120,1660
BI-1887-1463-122A,1660
BI-1887-1463-122,1660
BI-1887-1463-12,1661
BI-1887-1463-122B,1660
BI-1887-1463-122C,1660
BI-1887-1463-123,1641
BI-1887-1463-123B,1641
BI-1887-1463-124,1610
BI-1887-1463-123A,1648
BI-1887-1463-125,1600
BI-1887-1463-125A,1630
BI-1887-1463-125B,1600
BI-1887-1463-125C,1630
BI-1887-1463-126,1643
BI-1887-1463-126A,1660
BI-1887-1463-126B,1648
BI-1887-1463-127A,1649
BI-1887-1463-126C,1660
BI-1887-1463-127,1643
