year,diff,pred,path
1775,125,1650,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/1/AK-MAK-1264.jpeg
1632,10,1642,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/216/SK-A-2544.jpeg
1882,25,1857,/home/liza/data/met-images/435/435877.jpg
1666,115,1781,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/209/RP-T-1961-95.jpeg
1504,278,1782,/home/liza/data/met-images/338/338148.jpg
1811,47,1764,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/194/RP-T-1886-A-576.jpeg
1520,212,1732,/home/liza/data/met-images/342/342100.jpg
1596,40,1636,/home/liza/data/met-images/338/338187.jpg
1660,63,1723,/home/liza/data/met-images/716/716636.jpg
1800,21,1821,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1950-435.jpeg
1848,23,1825,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/203/RP-T-1936-58.jpeg
1830,49,1781,/home/liza/data/met-images/387/387319.jpg
1742,32,1710,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1918-412.jpeg
1700,81,1781,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1911-97.jpeg
1856,41,1815,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1903-A-4786.jpeg
1854,15,1839,/home/liza/data/met-images/13/13257.jpg
1770,2,1768,/home/liza/data/met-images/344/344071.jpg
1835,39,1796,/home/liza/data/met-images/335/335376.jpg
1610,40,1650,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1898-A-3609(V).jpeg
1576,93,1669,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/66/RP-P-1884-A-7909.jpeg
1778,9,1787,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1914-17-185.jpeg
1625,139,1764,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1887-A-782.jpeg
1724,57,1781,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1909-32.jpeg
1591,228,1819,/home/liza/data/met-images/339/339015.jpg
1670,75,1745,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1896-A-3134.jpeg
1912,53,1859,/home/liza/data/met-images/393/393630.jpg
1624,168,1792,/home/liza/data/met-images/338/338023.jpg
1700,40,1740,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/200/RP-T-1921-448.jpeg
1691,123,1814,/home/liza/data/met-images/343/343263.jpg
1700,123,1823,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/213/RP-T-1998-81.jpeg
1638,55,1693,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1919-53.jpeg
1680,107,1787,/home/liza/data/met-images/340/340354.jpg
1591,150,1741,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/210/RP-T-1965-177.jpeg
1576,196,1772,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1891-A-2440(R).jpeg
1871,31,1840,/home/liza/data/met-images/12/12247.jpg
1893,74,1819,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1979-58.jpeg
1845,30,1875,/home/liza/data/met-images/339/339734.jpg
1791,19,1772,/home/liza/data/met-images/10/10833.jpg
1875,100,1775,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/196/RP-T-1892-A-2717.jpeg
1799,5,1804,/home/liza/data/met-images/13/13055.jpg
1330,57,1387,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/17/BK-NM-77.jpeg
1729,38,1767,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/195/RP-T-1888-A-1688.jpeg
1820,41,1779,/home/liza/data/met-images/12/12907.jpg
1900,84,1816,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/216/SK-A-3506.jpeg
1780,0,1780,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/100/RP-P-1936-486.jpeg
1700,50,1750,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1951-209.jpeg
1900,74,1826,/home/liza/data/met-images/437/437967.jpg
1779,14,1765,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/199/RP-T-1914-17-49.jpeg
1920,56,1864,/home/liza/data/met-images/19/19266.jpg
1670,67,1737,/home/liza/data/met-images/436/436976.jpg
1750,10,1740,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/197/RP-T-1899-A-4146.jpeg
1830,4,1826,/home/liza/data/met-images/357/357873.jpg
1822,102,1720,/home/liza/data/met-images/0/528.jpg
1640,26,1614,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/219/SK-C-120.jpeg
1828,49,1779,/home/liza/data/met-images/357/357868.jpg
1600,144,1744,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-639(R).jpeg
1834,17,1851,/home/liza/data/met-images/10/10789.jpg
1799,10,1789,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/192/RP-T-00-2166.jpeg
1518,30,1548,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/217/SK-A-3838.jpeg
1600,159,1759,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/211/RP-T-1971-55.jpeg
1809,60,1749,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/214/RP-T-2014-14-33.jpeg
1786,2,1788,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/206/RP-T-1953-156.jpeg
1821,50,1771,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/205/RP-T-1949-705(V).jpeg
1929,83,1846,/home/liza/data/met-images/488/488502.jpg
1825,38,1787,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/214/RP-T-FM-6.jpeg
1581,214,1795,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/203/RP-T-1938-31.jpeg
1744,73,1817,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/203/RP-T-1937-82.jpeg
1753,48,1801,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/200/RP-T-1921-42.jpeg
1817,21,1796,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/204/RP-T-1940-426.jpeg
1545,160,1705,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1913-7.jpeg
1775,18,1793,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/198/RP-T-1904-53.jpeg
1838,17,1855,/home/liza/data/met-images/14/14884.jpg
1891,41,1850,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/208/RP-T-1960-450.jpeg
1595,174,1769,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/193/RP-T-00-554(R).jpeg
1860,26,1834,/home/liza/data/met-images/16/16689.jpg
1677,53,1730,/home/liza/data/rijksmuseum-images/rijksmuseum_data/images/rkm_data/images-small/210/RP-T-1968-146.jpeg
